	INDEX	form	lemma	xpos	syllables	stress	phon
62824	62824	cervix	=	Ncfp-n	cer.vix	c'ervix	tS e r v i ks
62825	62825	cervix	=	Ncm--n	cer.vix	c'ervix	tS e r v i ks
62826	62826	cervix	=	Ncmsvn	cer.vix	c'ervix	tS e r v i ks
65754	65754	cir	=	Ncfp-n	cir	cir	tS i r
65755	65755	cir	=	Ncm--n	cir	cir	tS i r
65756	65756	cir	=	Ncmsvn	cir	cir	tS i r
66043	66043	cirocumulus	=	Ncfp-n	ci.ro.cu.mu.lus	ciroc'umulus	tS i r o k u m u l u s
66044	66044	cirocumulus	=	Ncm--n	ci.ro.cu.mu.lus	ciroc'umulus	tS i r o k u m u l u s
66045	66045	cirocumulus	=	Ncmsvn	ci.ro.cu.mu.lus	ciroc'umulus	tS i r o k u m u l u s
66297	66297	ciucure	=	Ncms-n	ciu.cu.re	ci'ucure	tS u k u r e
66298	66298	ciucure	=	Ncmsvy	ciu.cu.re	ci'ucure	tS u k u r e
67657	67657	clește	=	Ncms-n	cleș.te	cl'ește	k l e S t e
67658	67658	clește	=	Ncmsvy	cleș.te	cl'ește	k l e S t e
67917	67917	climax	=	Ncfp-n	cli.max	cl'imax	k l i m a ks
67918	67918	climax	=	Ncm--n	cli.max	cl'imax	k l i m a ks
67919	67919	climax	=	Ncmsvn	cli.max	cl'imax	k l i m a ks
67931	67931	clincing	=	Ncfp-n	clin.cing	cl'incing	k l i n tS i n g
67932	67932	clincing	=	Ncm--n	clin.cing	cl'incing	k l i n tS i n g
67933	67933	clincing	=	Ncmsvn	clin.cing	cl'incing	k l i n tS i n g
68222	68222	clon	=	Ncfp-n	clon	clon	k l o n
68223	68223	clon	=	Ncm--n	clon	clon	k l o n
68224	68224	clon	=	Ncmsvn	clon	clon	k l o n
70692	70692	coma	=	Ncfsrn	co.ma	c'oma	k o m a
70693	70693	coma	=	Ncfsry	co.ma	c'oma	k o m a
71469	71469	comite	=	Ncms-n	co.mi.te	c'omite	k o m i t e
71470	71470	comite	=	Ncmsvy	co.mi.te	c'omite	k o m i t e
71789	71789	compars	=	Ncfp-n	com.pars	comp'ars	k o m p a r s
71790	71790	compars	=	Ncm--n	com.pars	comp'ars	k o m p a r s
71791	71791	compars	=	Ncmsvn	com.pars	comp'ars	k o m p a r s
72316	72316	complice	=	Ncf--n	com.pli.ce	compl'ice	k o m p l i tS e
72317	72317	complice	=	Ncms-n	com.pli.ce	compl'ice	k o m p l i tS e
77698	77698	conte	=	Ncms-n	con.te	c'onte	k o n t e
77699	77699	conte	=	Ncmsvy	con.te	c'onte	k o n t e
81137	81137	corm	=	Ncfp-n	corm	corm	k o r m
81138	81138	corm	=	Ncm--n	corm	corm	k o r m
81139	81139	corm	=	Ncmsvn	corm	corm	k o r m
81350	81350	corrigenda	=	Ncfsrn	co.rri.gen.da	corrig'enda	k o r r i gZ e n d a
81351	81351	corrigenda	=	Ncfsry	co.rri.gen.da	corrig'enda	k o r r i gZ e n d a
82871	82871	crețușcă	=	Ncfsrn	cre.țuș.că	creț'ușcă	k r e ts u S k @
82872	82872	crețușcă	=	Ncfsvy	cre.țuș.că	creț'ușcă	k r e ts u S k @
83334	83334	crepdeșin	=	Ncfp-n	crep.de.șin	crepdeș'in	k r e p d e S i n
83335	83335	crepdeșin	=	Ncm--n	crep.de.șin	crepdeș'in	k r e p d e S i n
83336	83336	crepdeșin	=	Ncmsvn	crep.de.șin	crepdeș'in	k r e p d e S i n
84314	84314	cronometru	=	Ncfp-n	cro.no.me.tru	cronom'etru	k r o n o m e t r u
84315	84315	cronometru	=	Ncms-n	cro.no.me.tru	cronom'etru	k r o n o m e t r u
84546	84546	crup	=	Ncfp-n	crup	crup	k r u p
84547	84547	crup	=	Ncm--n	crup	crup	k r u p
84548	84548	crup	=	Ncmsvn	crup	crup	k r u p
84855	84855	cuadruplex	=	Ncfp-n	cua.dru.plex	cuadrupl'ex	k w a d r u p l e ks
84856	84856	cuadruplex	=	Ncm--n	cua.dru.plex	cuadrupl'ex	k w a d r u p l e ks
84857	84857	cuadruplex	=	Ncmsvn	cua.dru.plex	cuadrupl'ex	k w a d r u p l e ks
85631	85631	culm	=	Ncfp-n	culm	culm	k u l m
85632	85632	culm	=	Ncm--n	culm	culm	k u l m
85633	85633	culm	=	Ncmsvn	culm	culm	k u l m
86298	86298	cumulonimbus	=	Ncfp-n	cu.mu.lo.nim.bus	cumulon'imbus	k u m u l o n i m b u s
86299	86299	cumulonimbus	=	Ncm--n	cu.mu.lo.nim.bus	cumulon'imbus	k u m u l o n i m b u s
86300	86300	cumulonimbus	=	Ncmsvn	cu.mu.lo.nim.bus	cumulon'imbus	k u m u l o n i m b u s
87129	87129	curie	=	Ncfsrn	cu.ri.e	c'urie	k u r i e
87130	87130	curie	=	Ncm--n	cu.ri.e	cur'ie	k u r i e
88008	88008	câine	=	Ncms-n	câi.ne	c'âine	k 1 j n e
88009	88009	câine	=	Ncmsvy	câi.ne	c'âine	k 1 j n e
88386	88386	cârmâz	=	Ncfp-n	câr.mâz	cârm'âz	k 1 r m 1 z
88387	88387	cârmâz	=	Ncm--n	câr.mâz	cârm'âz	k 1 r m 1 z
88388	88388	cârmâz	=	Ncmsvn	câr.mâz	cârm'âz	k 1 r m 1 z
100911	100911	detriment	=	Ncfp-n	de.tri.ment	detrim'ent	d e t r i m e n t
100912	100912	detriment	=	Ncm--n	de.tri.ment	detrim'ent	d e t r i m e n t
100913	100913	detriment	=	Ncmsvn	de.tri.ment	detrim'ent	d e t r i m e n t
104934	104934	digamma	=	Ncfsrn	di.gam.ma	dig'amma	d i g a m m a
