	Unnamed: 0	form	lemma	xpos	syll	stress	phon	syll_count	comment	stress_syl	root
120	1315	șist	=	Ncms-n	șist	șist	S i s t	1		0	S i s t
121	1316	șistificare	=	Ncfsrn	șis.ti.fi.ca.re	șistific'are	S i s t i f i k a r e	5		3	S i s t i f i k a r
122	1329	șlagăr	=	Ncms-n	șla.găr	șl'agăr	S l a g @ r	2		0	S l a g @ r
123	1343	șlampăt	=	Afpms-n	șlam.păt	șl'ampăt	S l a m p @ t	2		0	S l a m p @ t
124	1348	șlap	=	Ncms-n	șlap	șlap	S l a p	1		0	S l a p
125	1354	șleah	=	Ncms-n	șleah	șleah	S l e_X a h	1		0	S l e_X a h
126	1356	șleahtic	=	Ncms-n	șleah.tic	șle'ahtic	S l e_X a h t i k	2		0	S l e_X a h t i k
127	1363	șleahtă	=	Ncfsrn	șleah.tă	șle'ahtă	S l e_X a h t @	2		0	S l e_X a h t
128	1377	șleampăt	=	Afpms-n	șleam.păt	șle'ampăt	S l e_X a m p @ t	2		0	S l e_X a m p @ t
129	1383	șleapcă	=	Ncfsrn	șleap.că	șle'apcă	S l e_X a p k @	2		0	S l e_X a p k
130	1384	șleau	=	Ncms-n	șleau	șleau	S l e_X a w	1		0	S l e_X a
131	1399	șlefuitor	=	Afpms-n	șle.fu.i.tor	șlefuit'or	S l e f u i t o r	4		3	S l e f u i t o r
132	1413	șlem	=	Ncm--n	șlem	șlem	S l e m	1		0	S l e m
133	1414	șlem	=	Ncmsvn	șlem	șlem	S l e m	1		0	S l e m
134	1417	șlep	=	Ncms-n	șlep	șlep	S l e p	1		0	S l e p
135	1435	șliboviță	=	Ncfsrn	șli.bo.vi.ță	șl'iboviță	S l i b o v i ts @	4		0	S l i b o v i ts
136	1436	șlic	=	Ncms-n	șlic	șlic	S l i k	1		0	S l i k
137	1442	șlif	=	Ncms-n	șlif	șlif	S l i f	1		0	S l i f
138	1448	șlire	=	Ncfsrn	șli.re	șl'ire	S l i r e	2		0	S l i r
139	1455	șliț	=	Ncms-n	șliț	șliț	S l i ts	1		0	S l i ts
140	1462	șluc	=	Ncms-n	șluc	șluc	S l u k	1		0	S l u k
141	1471	șmag	=	Ncm--n	șmag	șmag	S m a g	1		0	S m a g
142	1472	șmag	=	Ncmsvn	șmag	șmag	S m a g	1		0	S m a g
143	1475	șmal	=	Ncms-n	șmal	șmal	S m a l	1		0	S m a l
144	1483	șmecheră	=	Ncfsrn	șme.che.ră	șm'echeră	S m e k_j e r @	3		0	S m e k_j e r
145	1485	șmecher	=	Afpms-n	șme.cher	șm'echer	S m e k_j e r	2		0	S m e k_j e r
146	1486	șmecher	=	Ncms-n	șme.cher	șm'echer	S m e k_j e r	2		0	S m e k_j e r
147	1511	șmecheri	=	Vmnp	șme.che.ri	șmecher'i	S m e k_j e r i	3		2	S m e k_j e r
148	1515	șmecherie	=	Ncfsrn	șme.che.ri.e	șmecher'ie	S m e k_j e r i e	4		2	S m e k_j e r i
149	1546	șmecherlâc	=	Ncms-n	șme.cher.lâc	șmecherl'âc	S m e k_j e r l 1 k	3		2	S m e k_j e r l 1 k
150	1558	șmirghel	=	Ncms-n	șmir.ghel	șm'irghel	S m i r g_j e l	2		0	S m i r g_j e l
151	1573	șmotri	=	Vmnp	șmo.tri	șmotr'i	S m o t r i	2		1	S m o t r
152	1594	șmotru	=	Ncms-n	șmo.tru	șm'otru	S m o t r u	2		0	S m o t r
153	1600	șnapan	=	Ncms-n	șna.pan	șnap'an	S n a p a n	2		1	S n a p a n
154	1608	șnaps	=	Ncm--n	șnaps	șnaps	S n a p s	1		0	S n a p s
155	1609	șnaps	=	Ncmsvn	șnaps	șnaps	S n a p s	1		0	S n a p s
156	1615	șnec	=	Ncms-n	șnec	șnec	S n e k	1		0	S n e k
157	1622	șnur	=	Ncms-n	șnur	șnur	S n u r	1		0	S n u r
158	1629	șnurceramică	=	Ncfsrn	șnur.ce.ra.mi.că	șnurcer'amică	S n u r tS e r a m i k @	5		2	S n u r tS e r a m i k
159	1631	șnurui	=	Vmnp	șnu.ru.i	șnuru'i	S n u r u i	3		2	S n u r u
160	1668	șoș	=	Ncms-n	șoș	șoș	S o S	1		0	S o S
161	1674	șoacăț	=	Ncms-n	șoa.căț	șo'acăț	S o_X a k @ ts	2		0	S o_X a k @ ts
162	1694	șoaldină	=	Ncfsrn	șoal.di.nă	șo'aldină	S o_X a l d i n @	3		0	S o_X a l d i n
163	1702	șoantă	=	Ncfsrn	șoan.tă	șo'antă	S o_X a n t @	2		0	S o_X a n t
164	1710	șoaptă	=	Ncfsrn	șoap.tă	șo'aptă	S o_X a p t @	2		0	S o_X a p t
165	1711	șoarec	=	Ncms-n	șoa.rec	șo'arec	S o_X a r e k	2		0	S o_X a r e k
166	1712	șoarece	=	Ncms-n	șoa.re.ce	șo'arece	S o_X a r e tS e	3		0	S o_X a r e tS
167	1724	șobolan	=	Ncms-n	șo.bo.lan	șobol'an	S o b o l a n	3		2	S o b o l a n
168	1733	șoc	=	Ncms-n	șoc	șoc	S o k	1		0	S o k
169	1735	șoca	=	Vmnp	șo.ca	șoc'a	S o k a	2		1	S o k
170	1739	șocant	=	Afpms-n	șo.cant	șoc'ant	S o k a n t	2		1	S o k a n t
171	1762	șocat	=	Afpms-n	șo.cat	șoc'at	S o k a t	2		1	S o k a t
172	1797	șod	=	Afpms-n	șod	șod	S o d	1		0	S o d
173	1801	șofa	=	Vmnp	șo.fa	șof'a	S o f a	2		1	S o f
174	1805	șofaj	=	Ncm--n	șo.faj	șof'aj	S o f a Z	2		1	S o f a Z
175	1806	șofaj	=	Ncmsvn	șo.faj	șof'aj	S o f a Z	2		1	S o f a Z
176	1833	șofer	=	Ncms-n	șo.fer	șof'er	S o f e r	2		1	S o f e r
177	1844	șoferiță	=	Ncfsrn	șo.fe.ri.ță	șofer'iță	S o f e r i ts @	4		2	S o f e r i ts
178	1851	șofran	=	Ncms-n	șo.fran	șofr'an	S o f r a n	2		1	S o f r a n
179	1863	șoim	=	Ncms-n	șoim	șoim	S o j m	1		0	S o j m
180	1864	șoimar	=	Ncms-n	șoi.mar	șoim'ar	S o j m a r	2		1	S o j m a r
181	1877	șold	=	Ncms-n	șold	șold	S o l d	1		0	S o l d
182	1885	șolticărie	=	Ncfsrn	șol.ti.că.ri.e	șolticăr'ie	S o l t i k @ r i e	5		3	S o l t i k @ r i
183	1891	șoltuz	=	Ncms-n	șol.tuz	șolt'uz	S o l t u z	2		1	S o l t u z
184	1898	șomaj	=	Ncms-n	șo.maj	șom'aj	S o m a Z	2		1	S o m a Z
185	1901	șomer	=	Ncms-n	șo.mer	șom'er	S o m e r	2		1	S o m e r
186	1915	șomeră	=	Ncfsrn	șo.me.ră	șom'eră	S o m e r @	3		1	S o m e r
187	1919	șomoiog	=	Ncms-n	șo.mo.iog	șomoi'og	S o m o j o g	3		2	S o m o j o g
188	1920	șomoiogel	=	Ncms-n	șo.mo.io.gel	șomoiog'el	S o m o j o gZ e l	4		3	S o m o j o gZ e l
189	1929	șont	=	Afpms-n	șont	șont	S o n t	1		0	S o n t
190	1937	șontorog	=	Afpms-n	șon.to.rog	șontor'og	S o n t o r o g	3		2	S o n t o r o g
191	1951	șopron	=	Ncms-n	șo.pron	șopr'on	S o p r o n	2		1	S o p r o n
192	1954	șopru	=	Ncms-n	șo.pru	ș'opru	S o p r u	2		0	S o p r
193	1960	șopruț	=	Ncms-n	șo.pruț	șopr'uț	S o p r u ts	2		1	S o p r u ts
194	1982	șopti	=	Vmnp	șop.ti	șopt'i	S o p t i	2		1	S o p t
195	1996	șoptit	=	Afpms-n	șop.tit	șopt'it	S o p t i t	2		1	S o p t i t
196	2024	șopârlă	=	Ncfsrn	șo.pâr.lă	șop'ârlă	S o p 1 r l @	3		1	S o p 1 r l
197	2028	șoricel	=	Ncms-n	șo.ri.cel	șoric'el	S o r i tS e l	3		2	S o r i tS e l
198	2032	șorici	=	Ncms-n	șo.rici	șor'ici	S o r i tS	2		1	S o r i tS
199	2040	șoricioaică	=	Ncfsrn	șo.ri.cioai.că	șoricio'aică	S o r i tS o_X a j k @	4		2	S o r i tS o_X a j k
200	2047	șort	=	Ncms-n	șort	șort	S o r t	1		0	S o r t
201	2054	șorț	=	Ncms-n	șorț	șorț	S o r ts	1		0	S o r ts
202	2057	șorțuleț	=	Ncms-n	șor.țu.leț	șorțul'eț	S o r ts u l e ts	3		2	S o r ts u l e ts
203	2068	șosea	=	Ncfsrn	șo.sea	șose'a	S o s e_X a	2		1	S o s e_X
204	2081	șosetă	=	Ncfsrn	șo.se.tă	șos'etă	S o s e t @	3		1	S o s e t
205	2082	șot	=	Ncms-n	șot	șot	S o t	1		0	S o t
206	2084	șotie	=	Ncfsrn	șo.ti.e	ș'otie	S o t i e	3		0	S o t i
207	2093	șotron	=	Ncms-n	șo.tron	șotr'on	S o t r o n	2		1	S o t r o n
208	2102	șovinism	=	Ncms-n	șo.vi.nism	șovin'ism	S o v i n i s m	3		2	S o v i n i s m
209	2105	șovârf	=	Ncms-n	șo.vâ.rf	șov'ârf	S o v 1 r f	-1	syll count mismatch	1	S o v 1 r f
210	2114	șovăi	=	Vmnp	șo.vă.i	șovă'i	S o v @ i	3		2	S o v @
211	2132	șovăire	=	Ncfsrn	șo.vă.i.re	șovă'ire	S o v @ i r e	4		2	S o v @ i r
212	2169	șpaclu	=	Ncms-n	șpa.clu	șp'aclu	S p a k l u	2		0	S p a k l
213	2178	șpagă	=	Ncfsrn	șpa.gă	șp'agă	S p a g @	2		0	S p a g
214	2179	șpais	=	Ncms-n	șpais	șpais	S p a j s	1		0	S p a j s
215	2186	șpalt	=	Ncms-n	șpalt	șpalt	S p a l t	1		0	S p a l t
216	2192	șpan	=	Ncms-n	șpan	șpan	S p a n	1		0	S p a n
217	2201	șpanchiu	=	Afpms-n	șpan.chiu	șpanch'iu	S p a n k_j i w	2		1	S p a n k_j i
218	2205	șpangă	=	Ncfsrn	șpan.gă	șp'angă	S p a n g @	2		0	S p a n g
219	2217	șperaclu	=	Ncms-n	șpe.ra.clu	șper'aclu	S p e r a k l u	3		1	S p e r a k l
220	2220	șperț	=	Ncms-n	șperț	șperț	S p e r ts	1		0	S p e r ts
221	2222	șperțui	=	Vmnp	șper.țu.i	șperțu'i	S p e r ts u i	3		2	S p e r ts u
222	2265	șpicheriță	=	Ncfsrn	șpi.che.ri.ță	șp'icheriță	S p i k_j e r i ts @	4		0	S p i k_j e r i ts
223	2266	șpilhozen	=	Ncms-n	șpil.ho.zen	șp'ilhozen	S p i l h o z e n	3		0	S p i l h o z e n
224	2275	șpis	=	Ncms-n	șpis	șpis	S p i s	1		0	S p i s
225	2282	șpiț	=	Ncms-n	șpiț	șpiț	S p i ts	1		0	S p i ts
226	2291	șplint	=	Ncms-n	șplint	șplint	S p l i n t	1		0	S p l i n t
227	2297	șplit	=	Ncms-n	șplit	șplit	S p l i t	1		0	S p l i t
228	2301	șpor	=	Ncms-n	șpor	șpor	S p o r	1		0	S p o r
229	2308	șpraiț	=	Ncms-n	șpraiț	șpraiț	S p r a j ts	1		0	S p r a j ts
230	2314	șpring	=	Ncms-n	șpring	șpring	S p r i n g	1		0	S p r i n g
231	2315	șpringuire	=	Ncfsrn	șprin.gu.i.re	șpringu'ire	S p r i n g u i r e	4		2	S p r i n g u i r
232	2327	șpriț	=	Ncms-n	șpriț	șpriț	S p r i ts	1		0	S p r i ts
233	2331	șprițuitor	=	Ncms-n	șpri.țu.i.tor	șprițuit'or	S p r i ts u i t o r	4		3	S p r i ts u i t o r
234	2343	șpul	=	Ncms-n	șpul	șpul	S p u l	1		0	S p u l
235	2349	șrapnel	=	Ncms-n	șrap.nel	șrapn'el	S r a p n e l	2		1	S r a p n e l
236	2356	șrot	=	Ncms-n	șrot	șrot	S r o t	1		0	S r o t
237	2357	șrotuire	=	Ncfsrn	șro.tu.i.re	șrotu'ire	S r o t u i r e	4		2	S r o t u i r
238	2375	ștab	=	Ncms-n	ștab	ștab	S t a b	1		0	S t a b
239	2390	ștachetă	=	Ncfsrn	șta.che.tă	ștach'etă	S t a k_j e t @	3		1	S t a k_j e t
240	2392	ștafetar	=	Ncms-n	șta.fe.tar	ștafet'ar	S t a f e t a r	3		2	S t a f e t a r
241	2404	ștafetă	=	Ncfsrn	șta.fe.tă	ștaf'etă	S t a f e t @	3		1	S t a f e t
242	2405	ștaif	=	Ncms-n	ștaif	ștaif	S t a j f	1		0	S t a j f
243	2412	ștampila	=	Vmnp	ștam.pi.la	ștampil'a	S t a m p i l a	3		2	S t a m p i l
244	2448	ștampilă	=	Ncfsrn	ștam.pi.lă	ștamp'ilă	S t a m p i l @	3		1	S t a m p i l
245	2451	ștand	=	Ncms-n	ștand	șt'and	S t a n d	1	stress mark in single syllable	0	S t a n d
246	2458	ștangă	=	Ncfsrn	ștan.gă	șt'angă	S t a n g @	2		0	S t a n g
247	2459	ștanțatoare	=	Ncf--n	ștan.ța.toa.re	ștanțato'are	S t a n ts a t o_X a r e	4		2	S t a n ts a t o_X a r
248	2471	ștat	=	Ncms-n	ștat	șt'at	S t a t	1	stress mark in single syllable	0	S t a t
249	2477	ștaufer	=	Ncms-n	ștau.fer	șt'aufer	S t a w f e r	2		0	S t a w f e r
250	2484	șteamp	=	Ncms-n	șteamp	șteamp	S t e_X a m p	1		0	S t e_X a m p
251	2491	șteand	=	Ncms-n	șteand	șteand	S t e_X a n d	1		0	S t e_X a n d
252	2498	șteap	=	Ncms-n	șteap	șteap	S t e_X a p	1		0	S t e_X a p
253	2506	ștempel	=	Ncms-n	ștem.pel	șt'empel	S t e m p e l	2		0	S t e m p e l
254	2518	ștemuitor	=	Afpms-n	ște.mu.i.tor	ștemuit'or	S t e m u i t o r	4		3	S t e m u i t o r
255	2532	șterț	=	Ncms-n	șterț	șterț	S t e r ts	1		0	S t e r ts
256	2540	ștergar	=	Ncms-n	șter.gar	șterg'ar	S t e r g a r	2		1	S t e r g a r
257	2548	șterge	=	Vmnp	șter.ge	șt'erge	S t e r gZ e	2		0	S t e r gZ
258	2555	ștergere	=	Ncfsrn	șter.ge.re	șt'ergere	S t e r gZ e r e	3		0	S t e r gZ e r
259	2579	șterpeli	=	Vmnp	șter.pe.li	șterpel'i	S t e r p e l i	3		2	S t e r p e l
260	2600	șters	=	Afpms-n	șters	șters	S t e r s	1		0	S t e r s
261	2621	ștevie	=	Ncfsrn	ște.vi.e	șt'evie	S t e v i e	3		0	S t e v i
262	2627	ști	=	Vmnp	ști	ști	S t i	1		0	S t
263	2637	știft	=	Ncms-n	știft	știft	S t i f t	1		0	S t i f t
264	2650	științific	=	Afpms-n	ști.in.ți.fic	științ'ific	S t i i n ts i f i k	4		2	S t i i n ts i f i k
265	2666	știință	=	Ncfsrn	știin.ță	ști'ință	S t i j n ts @	2		0	S t i j n ts
266	2667	știm	=	Ncms-n	știm	știm	S t i m	1		0	S t i m
267	2681	știoalfă	=	Ncfsrn	știoal.fă	știo'alfă	S t j o_X a l f @	2		0	S t j o_X a l f
268	2682	știob	=	Ncms-n	știob	știob	S t j o b	1		0	S t j o b
269	2690	știr	=	Ncms-n	știr	știr	S t i r	1		0	S t i r
270	2691	știrb	=	Afpms-n	știrb	știrb	S t i r b	1		0	S t i r b
271	2705	știrbenie	=	Ncfsrn	știr.be.ni.e	știrb'enie	S t i r b e n i e	4		1	S t i r b e n i
272	2717	știrbi	=	Vmnp	știr.bi	știrb'i	S t i r b i	2		1	S t i r b
273	2744	știre	=	Ncfsrn	ști.re	șt'ire	S t i r e	2		0	S t i r
